downloaded,item_id,item_definition,category,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,word,freq,freqrank
2022-09-22,61,firetruck,vehicles,0.03,0.06,0.1,0.15,0.2,0.26,0.36,0.45,0.51,0.61,0.65,0.64,0.82,0.74,0.78,firetruck,71915,0.6395065580262321
2022-09-22,62,helicopter,vehicles,0.02,0.05,0.07,0.14,0.14,0.21,0.29,0.4,0.45,0.53,0.58,0.59,0.77,0.65,0.71,helicopter,5528827,0.9716798867195469
2022-09-22,63,motorcycle,vehicles,0.02,0.06,0.07,0.13,0.12,0.19,0.29,0.36,0.43,0.47,0.54,0.54,0.75,0.66,0.7,motorcycle,15081508,0.9863859455437822
2022-09-22,64,sled,vehicles,0.01,0.04,0.06,0.07,0.1,0.13,0.15,0.19,0.19,0.22,0.23,0.3,0.35,0.33,0.33,sled,1134521,0.9267157068628274
2022-09-22,65,stroller,vehicles,0.05,0.07,0.12,0.19,0.19,0.23,0.26,0.41,0.47,0.54,0.55,0.6,0.79,0.62,0.7,stroller,2666858,0.9556358225432902
2022-09-22,66,tractor,vehicles,0.07,0.08,0.12,0.18,0.22,0.25,0.33,0.38,0.45,0.48,0.52,0.52,0.71,0.6,0.62,tractor,5098075,0.9701528806115225
2022-09-22,67,train,vehicles,0.11,0.17,0.24,0.36,0.47,0.46,0.55,0.66,0.76,0.79,0.82,0.81,0.93,0.87,0.9,train,31816971,0.9924879699518798
2022-09-22,68,tricycle,vehicles,0.01,0.02,0.03,0.05,0.08,0.07,0.13,0.16,0.19,0.25,0.26,0.28,0.46,0.31,0.38,tricycle,400029,0.8652724610898443
2022-09-22,69,truck,vehicles,0.27,0.3,0.39,0.52,0.56,0.59,0.67,0.74,0.78,0.85,0.85,0.86,0.95,0.89,0.89,truck,32136249,0.9925719702878811
2022-09-22,70,ball,toys,0.73,0.77,0.84,0.89,0.93,0.93,0.93,0.92,0.95,0.97,0.94,0.97,0.99,0.95,0.96,ball,43399906,0.9943419773679095
2022-09-22,71,balloon,toys,0.28,0.39,0.45,0.59,0.64,0.65,0.66,0.76,0.82,0.87,0.88,0.89,0.96,0.91,0.91,balloon,6719614,0.9752649010596043
2022-09-22,72,bat,toys,0.05,0.06,0.11,0.14,0.17,0.18,0.22,0.26,0.36,0.41,0.44,0.43,0.7,0.54,0.56,bat,7725300,0.9775719102876411
2022-09-22,73,block,toys,0.13,0.21,0.28,0.36,0.4,0.47,0.51,0.6,0.6,0.69,0.71,0.74,0.87,0.76,0.77,block,49694725,0.9950169800679203
2022-09-22,74,book,toys,0.45,0.55,0.62,0.71,0.78,0.79,0.79,0.83,0.88,0.9,0.89,0.92,0.97,0.93,0.93,book,330959949,0.9994749978999916
2022-09-22,75,bubbles,toys,0.22,0.38,0.47,0.6,0.63,0.64,0.71,0.77,0.83,0.88,0.86,0.89,0.95,0.89,0.92,bubbles,2963701,0.9582338329353317
2022-09-22,76,chalk,toys,0.02,0.03,0.05,0.1,0.12,0.16,0.22,0.28,0.33,0.37,0.41,0.46,0.61,0.53,0.58,chalk,2498505,0.9539048156192624
2022-09-22,77,crayon,toys,0.03,0.09,0.12,0.26,0.25,0.33,0.44,0.47,0.56,0.67,0.66,0.69,0.85,0.78,0.79,crayon,606502,0.8941775767103068
2022-09-22,78,doll,toys,0.14,0.22,0.28,0.35,0.4,0.41,0.48,0.51,0.52,0.65,0.64,0.67,0.83,0.7,0.72,doll,12047864,0.9838329353317413
2022-09-22,79,game,toys,0.01,0.03,0.06,0.09,0.11,0.16,0.24,0.26,0.33,0.42,0.45,0.49,0.71,0.61,0.69,game,227111505,0.9990879963519854
2022-09-22,80,glue,toys,0,0.02,0.02,0.04,0.05,0.06,0.1,0.1,0.14,0.2,0.22,0.3,0.48,0.36,0.46,glue,4435595,0.9673568694274777
2022-09-22,81,pen,toys,0.04,0.09,0.1,0.23,0.26,0.3,0.36,0.4,0.44,0.55,0.58,0.58,0.79,0.64,0.69,pen,16371249,0.9871959487837951
2022-09-22,82,pencil,toys,0.01,0.04,0.07,0.15,0.16,0.22,0.22,0.3,0.34,0.46,0.49,0.5,0.74,0.6,0.65,pencil,5527529,0.9716768867075468
2022-09-22,83,play dough,toys,0.01,0.03,0.05,0.08,0.12,0.18,0.23,0.29,0.36,0.41,0.44,0.53,0.64,0.6,0.65,playdough,44892,0.5241350965403861
2022-09-22,84,present,toys,0.01,0.03,0.05,0.08,0.1,0.17,0.22,0.33,0.44,0.51,0.52,0.56,0.77,0.64,0.67,present,99420744,0.9975879903519614
2022-09-22,85,puzzle,toys,0.03,0.05,0.09,0.18,0.2,0.25,0.3,0.4,0.48,0.6,0.6,0.64,0.82,0.69,0.75,puzzle,14083532,0.9856479425917704
2022-09-22,86,story,toys,0.02,0.05,0.09,0.16,0.17,0.22,0.31,0.37,0.48,0.52,0.55,0.58,0.78,0.69,0.76,story,138433809,0.998313993255973
2022-09-22,87,toy (object),toys,0.13,0.16,0.24,0.36,0.41,0.46,0.5,0.59,0.66,0.75,0.78,0.8,0.91,0.87,0.9,toy,26924831,0.991311965247861
2022-09-22,88,apple,food_drink,0.29,0.38,0.49,0.61,0.61,0.67,0.76,0.81,0.85,0.89,0.88,0.91,0.96,0.93,0.93,apple,50551171,0.9950739802959212
2022-09-22,89,applesauce,food_drink,0.06,0.08,0.11,0.17,0.19,0.25,0.32,0.38,0.44,0.5,0.52,0.53,0.71,0.6,0.6,applesauce,389891,0.8632594530378122
2022-09-22,90,banana,food_drink,0.46,0.52,0.62,0.68,0.73,0.75,0.8,0.85,0.88,0.91,0.9,0.91,0.96,0.94,0.96,banana,5567941,0.971811887247549
2022-09-22,91,beans,food_drink,0.05,0.09,0.13,0.24,0.24,0.29,0.36,0.4,0.46,0.47,0.53,0.56,0.74,0.55,0.63,beans,7607524,0.9773349093396374
2022-09-22,92,bread,food_drink,0.1,0.15,0.2,0.33,0.37,0.4,0.5,0.58,0.64,0.72,0.75,0.74,0.9,0.83,0.82,bread,13575360,0.9852429409717639
2022-09-22,93,butter,food_drink,0.02,0.05,0.1,0.13,0.19,0.22,0.29,0.38,0.43,0.51,0.54,0.6,0.77,0.64,0.69,butter,9727172,0.9811059244236977
2022-09-22,94,cake,food_drink,0.06,0.09,0.17,0.28,0.34,0.35,0.5,0.56,0.7,0.74,0.75,0.78,0.9,0.87,0.88,cake,16526639,0.9872769491077964
2022-09-22,95,candy,food_drink,0.04,0.1,0.15,0.27,0.31,0.33,0.41,0.45,0.53,0.68,0.69,0.72,0.88,0.79,0.81,candy,13772033,0.9853929415717663
2022-09-22,96,carrots,food_drink,0.05,0.09,0.12,0.21,0.24,0.3,0.36,0.46,0.52,0.62,0.61,0.65,0.82,0.74,0.79,carrots,1756446,0.9431617726470906
2022-09-22,97,cereal,food_drink,0.08,0.12,0.19,0.34,0.32,0.39,0.47,0.5,0.6,0.68,0.69,0.71,0.88,0.79,0.82,cereal,2871293,0.9574598298393193
2022-09-22,98,cheerios,food_drink,0.11,0.15,0.23,0.28,0.28,0.33,0.4,0.47,0.49,0.57,0.56,0.57,0.75,0.68,0.76,cheerios,190214,0.7930141720566882
2022-09-22,99,cheese,food_drink,0.29,0.37,0.48,0.6,0.62,0.67,0.67,0.76,0.83,0.84,0.85,0.86,0.95,0.87,0.9,cheese,16704436,0.9873639494557979
2022-09-22,100,chicken (food),food_drink,0.07,0.11,0.15,0.29,0.29,0.38,0.47,0.51,0.59,0.68,0.68,0.71,0.88,0.83,0.82,chicken,20655046,0.989187956751827
2022-09-22,101,chocolate,food_drink,0.02,0.05,0.08,0.12,0.18,0.23,0.28,0.41,0.48,0.52,0.55,0.63,0.78,0.72,0.78,chocolate,23379199,0.9902019608078433
2022-09-22,102,coffee,food_drink,0.04,0.06,0.11,0.18,0.2,0.25,0.32,0.43,0.49,0.52,0.56,0.57,0.75,0.66,0.7,coffee,42086828,0.9941769767079068
2022-09-22,103,coke,food_drink,0.01,0.04,0.05,0.11,0.13,0.11,0.17,0.14,0.2,0.33,0.24,0.25,0.48,0.26,0.34,coke,3505322,0.9623258493033973
2022-09-22,104,cookie,food_drink,0.29,0.31,0.42,0.56,0.64,0.6,0.69,0.74,0.82,0.87,0.86,0.89,0.96,0.91,0.95,cookie,11517481,0.9833259333037332
2022-09-22,105,corn,food_drink,0.05,0.08,0.12,0.21,0.24,0.25,0.34,0.44,0.48,0.56,0.59,0.64,0.81,0.69,0.74,corn,10723716,0.9824199296797187
2022-09-22,106,cracker,food_drink,0.26,0.28,0.37,0.5,0.53,0.53,0.6,0.67,0.72,0.78,0.76,0.78,0.92,0.81,0.82,cracker,2103875,0.9489487957951832
