source,statement,description,link
Sid Miller,"""Confederate veterans were conferred with many of the same benefits of other United States military veterans by Acts of Congress back in 1929 and 1957.""","stated on November 9, 2019 in a Facebook post:",https://www.politifact.com/factchecks/2019/nov/15/sid-miller/did-congressional-acts-give-confederate-veterans-f/
William Taylor,"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""","stated on November 13, 2019 in impeachment inquiry testimony:",https://www.politifact.com/factchecks/2019/nov/14/william-taylor/fact-checking-impeachment-witness-william-taylors-/
Donald Trump Jr.,"""It’s only a federal crime for the"" inspector general to out a whistleblower.","stated on November 7, 2019 in an interview on ABC's ""The View"":",https://www.politifact.com/factchecks/2019/nov/11/donald-trump-jr/outing-whistleblower-only-crime-if-inspector-gener/
Mark Pocan,"""In WI, over 79% of Title X patients rely on Planned Parenthood for their basic health care.""","stated on August 19, 2019 in a tweet:",https://www.politifact.com/factchecks/2019/nov/08/mark-pocan/wisconsin-democrats-claim-about-reliance-planned-p/
Donald Trump,"""President Trump has lifted the prospect of voters across Vermont, overseeing a 11,742 decline of Vermont residents on food stamps.""","stated on November 4, 2019 in a campaign email to Vermont media:",https://www.politifact.com/factchecks/2019/nov/07/donald-trump/trumps-right-food-stamp-recipients-vermont-dropped/
Democratic Senatorial Campaign Committee,"Says Thom Tillis voted to support Trump’s emergency declaration to fund the border wall even though it would ""raid $80 million from North Carolina.""","stated on September 29, 2019 in a tweet:",https://www.politifact.com/factchecks/2019/nov/06/democratic-senatorial-campaign-committee/did-nc-senator-vote-let-trump-administration-raid-/
Pete Buttigieg,"""When it comes to electability, every single time my party has won the presidency in the last 50 years, it’s been with a candidate who was new on the national scene, hadn’t spent a lot of time in Washington, and represented a new generation of leadership.""","stated on October 30, 2019 in an interview:",https://www.politifact.com/factchecks/2019/nov/05/pete-buttigieg/fact-checking-pete-buttigieg-success-democratic-pr/
Jack Salzwedel,"""There’s more African American males in the penal system right now than there were (enslaved) at the height of slavery."" ","stated on October 8, 2019 in a public forum:",https://www.politifact.com/factchecks/2019/nov/01/jack-salzwedel/american-family-ceo-makes-point-about-19th-century/
Mike Parson,"""Wages are on the rise — in fact we were the top small-business wage growth state in the nation.""","stated on September 8, 2019 in a campaign announcement:",https://www.politifact.com/factchecks/2019/oct/31/mike-parson/parsons-mostly-right-about-big-growth-small-busine/
Joe Biden,"""I entered as one of the poorest men in Congress, left one of the poorest men in government, in Congress and as vice president.""","stated on October 16, 2019 in answering questions from reporters:",https://www.politifact.com/factchecks/2019/oct/30/joe-biden/fact-checking-joe-bidens-claim-hes-among-poorest-g/
Richard Durbin,"Says that in Illinois, ""fewer than 20% of those actually deported have been charged with any serious crime.""","stated on October 22, 2019 in remarks at a committee hearing:",https://www.politifact.com/factchecks/2019/oct/27/richard-durbin/durbin-mostly-track-claim-illinois-deportations/
Rand Paul,"""Most people below $50,000 don’t pay any income tax. The top 1 percent in our country pay 40%.""","stated on October 11, 2019 in an interview on ABC's ""The View"":",https://www.politifact.com/factchecks/2019/oct/17/rand-paul/fact-checking-rand-pauls-appearance-view/
Andrew Yang,"Says about universal basic income, ""Thomas Paine was for it at our founding ... Martin Luther King, champion in the ‘60s, called it a guaranteed minimum income for all Americans… It passed the U.S. House of Representatives twice in 1971.""","stated on September 21, 2019 in Iowa Steak Fry speech:",https://www.politifact.com/factchecks/2019/oct/16/andrew-yang/fact-checking-andrew-yang-history-universal-basic-/
Elizabeth Warren," ""Back when I was studying it, two out of three families that ended up in bankruptcy after a serious medical problem had health insurance.""","stated on October 15, 2019 in comments made during the Oct. 15 Democratic presidential primary debate:",https://www.politifact.com/factchecks/2019/oct/16/elizabeth-warren/warren-wades-debate-health-care-costs-and-bankrupt/
Richard Durbin,"Says ""90% of policemen are for"" expanding background checks to all gun sales.","stated on September 23, 2019 in a speech:",https://www.politifact.com/factchecks/2019/oct/04/richard-durbin/durbin-mostly-target-claim-about-police-support-ex/
Joe Biden,"""We’re no longer the wealthiest middle class in the world.""","stated on September 21, 2019 in a campaign appearance in Iowa:",https://www.politifact.com/factchecks/2019/oct/04/joe-biden/us-middle-class-no-longer-leads-world-bidens-claim/
Sam Graves,"""The average bridge in Missouri is 48 years old — most were only designed to last for 50 years.""","stated on August 29, 2019 in a newsletter:",https://www.politifact.com/factchecks/2019/oct/02/sam-graves/missouris-aging-bridges-are-problem-maybe-not-reas/
Richard Ojeda,"The United States is ""#1 in oil consumption"" in the world.","stated on August 25, 2019 in a tweet:",https://www.politifact.com/factchecks/2019/oct/01/richard-ojeda/does-united-states-rank-first-world-oil-consumptio/
Bernie Sanders,"""49% of all new income goes to the top 1%.""","stated on September 24, 2019 in a speech:",https://www.politifact.com/factchecks/2019/sep/29/bernie-sanders/bernie-sanders-says-49-new-income-goes-top-1/
West Virginia Republican Party,"""Women’s unemployment has been lower under President Trump than it’s been in nearly 70 years.""","stated on August 27, 2019 in a tweet:",https://www.politifact.com/factchecks/2019/sep/26/west-virginia-republican-party/unemployment-women-lowest-point-almost-70-years/
