source,statement,description,link
Dave Grohl,Canada is to thank for American football.,"stated on February 12, 2023 in a Super Bowl ad:",https://www.politifact.com/factchecks/2023/feb/13/dave-grohl/should-we-thank-canada-for-football-pretty-much-da/
Joe Biden,"""Studies show that children who go to preschool are nearly 50% more likely to finish high school and go on to earn a two- or four-year degree, no matter their background they came from.""","stated on February 7, 2023 in his State of the Union address:",https://www.politifact.com/factchecks/2023/feb/13/joe-biden/joe-biden-right-preschool-benefits-college-attenda/
Robin Vos,"In Wisconsin, even multimillionaires can be on BadgerCare ""because we don't even ask people what their income level is to qualify for free health care.""","stated on January 19, 2023 in Speech:",https://www.politifact.com/factchecks/2023/feb/09/robin-vos/vos-mostly-right-claim-about-multimillionaires-bad/
Devin LeMahieu,"""In 2010, (Wisconsin Republicans) inherited a multi-Billion dollar deficit … Today we are looking at a projected surplus approaching 7 Billion.""","stated on January 3, 2023 in Senate address:",https://www.politifact.com/factchecks/2023/feb/03/devin-lemahieu/wisconsin-republicans-take-credit-reigning-deficit/
Gavin Newsom,“The USA has a gun homicide rate 26 times higher than our peers.”,"stated on January 23, 2023 in a tweet:",https://www.politifact.com/factchecks/2023/jan/25/gavin-newsom/gavin-newsom-is-mostly-right-the-us-gun-homicide-r/
Glenn Youngkin,Virginia tax receipts “in just the last four years alone have grown 50%.”,"stated on January 23, 2023 in a speech.:",https://www.politifact.com/factchecks/2023/jan/25/glenn-youngkin/youngkin-near-mark-tax-growth-claim/
Eric Adams,“Fifty-one percent of our taxes are paid by 2% of New Yorkers.”,"stated on January 7, 2023 in a radio interview:",https://www.politifact.com/factchecks/2023/jan/24/eric-adams/claim-about-wealthy-residents-and-taxes-new-york-c/
Scott Walker,“Every pro-life Governor up for election in November won – by a large margin.”,"stated on January 1, 2023 in Twitter:",https://www.politifact.com/factchecks/2023/jan/13/scott-walker/yes-governors-who-oppose-abortion-did-well-in-midt/
Hakeem Jeffries,A “default on our debt” would be unprecedented in American history.,"stated on January 8, 2023 in an interview on NBC's ""Meet the Press"":",https://www.politifact.com/factchecks/2023/jan/11/hakeem-jeffries/hakeem-jeffries-said-a-debt-limit-default-would-be/
Joe Biden,"Since a new immigration program was implemented, the number of Venezuelans trying to enter the U.S. illegally decreased “from about 1,100 per day to less than 250 per day on average.”","stated on January 5, 2023 in a speech:",https://www.politifact.com/factchecks/2023/jan/06/joe-biden/illegal-immigration-dropped-after-new-venezuela-pr/
Karen Bass,“Literally five (homeless) people a day die on our streets” in the city of Los Angeles.,"stated on December 18, 2022 in in an interview:",https://www.politifact.com/factchecks/2022/dec/20/karen-bass/los-angeles-mayor-karen-bass-conflates-county-city/
Rita Harris,"Florida Senate Bill 2A does not provide ""immediate relief"" to homeowners dealing with high property insurance rates and ""will force some … constituents to pay up to 20% more.""","stated on December 14, 2022 in a press release:",https://www.politifact.com/factchecks/2022/dec/19/rita-harris/floridas-property-insurance-overhaul-doesnt-promis/
Ro Khanna,"The U.S. ""trade deficit with China has gone from about $80 billion a year in the 1990s to $400 billion a year.”","stated on December 12, 2022 in an interview:",https://www.politifact.com/factchecks/2022/dec/19/ro-khanna/us-trade-deficit-china-now-400-billion-year-much-h/
Karine Jean-Pierre,"Sen. Kyrsten Sinema ""voted with the president 93% of the time.""","stated on December 9, 2022 in a press conference:",https://www.politifact.com/factchecks/2022/dec/14/karine-jean-pierre/sinema-voted-biden-most-time-less-often-majority-d/
Joe Biden,"“For the last several months, wages have gone up more than prices have gone up.”","stated on December 13, 2022 in remarks at the White House:",https://www.politifact.com/factchecks/2022/dec/14/joe-biden/fact-checking-joe-biden-wage-gains-outpacing-infla/
Bernie Sanders,"In the first three quarters of 2022, “the railroad industry made $21 billion in profits, provided $25 billion in stock buybacks and dividends” and CEOs are paid up to $20 million a year, while railroad workers have ""zero guaranteed sick leave.""","stated on November 29, 2022 in an interview:",https://www.politifact.com/factchecks/2022/dec/08/bernie-sanders/bernie-sanders-correct-railroads-net-billions-vast/
Cliff Hayes,"“When you compare us to the European Union, we're something like 23 times more likely” to have homicides and handgun killings.","stated on November 23, 2022 in a TV interview.:",https://www.politifact.com/factchecks/2022/dec/02/cliff-hayes/gun-homicides-22-times-more-frequent-us-european-u/
Tony Evers,“An overwhelming majority of Wisconsinites support restoring #Roe and legalizing marijuana.”,"stated on November 14, 2022 in Twitter:",https://www.politifact.com/factchecks/2022/dec/02/tony-evers/evers-right-majorities-wisconsin-voters-support-re/
Raphael Warnock,Herschel Walker “wants a nationwide ban on abortion” and said no exceptions “not even for rape or incest or life of the mother.”,"stated on November 19, 2022 in a speech:",https://www.politifact.com/factchecks/2022/nov/22/raphael-warnock/does-herschel-walker-support-national-ban-abortion/
Julie Gunnigle,"""If Arizona were a country, it’d be the eighth largest incarcerator in the world.""","stated on September 15, 2022 in a debate:",https://www.politifact.com/factchecks/2022/nov/11/julie-gunnigle/democratic-maricopa-county-attorney-candidate-says/
Val Demings,"Sen. Marco Rubio ""helped write the law to raise prescription prices.""","stated on October 31, 2022 in a campaign ad:",https://www.politifact.com/factchecks/2022/nov/07/val-demings/val-demings-criticizes-rubios-move-to-repeal-laws/
Kathy Hochul,"The state is absorbing the cost of overtime pay for farmworkers, and farm owners do not have to pay any more.","stated on October 25, 2022 in a debate:",https://www.politifact.com/factchecks/2022/nov/05/kathy-hochul/state-pays-newest-overtime-costs-now/
Kari Lake,Katie Hobbs “has voted to double our gas tax.”,"stated on October 12, 2022 in a press conference:",https://www.politifact.com/factchecks/2022/nov/03/kari-lake/katie-hobbs-backed-bill-double-arizona-gas-taxes/
Senate Majority PAC,"Says ""Ron Johnson is making excuses for rioters who tried to overthrow our government, even calling them ‘peaceful protests.’”","stated on October 19, 2022 in Political ad:",https://www.politifact.com/factchecks/2022/nov/03/senate-majority-pac/ad-sen-ron-johnsons-jan-6-comments-makes-point-com/
Amy Klobuchar,“One in six local election officials have received threats of violence” and threats against judges have doubled over four years and threats against members of Congress have increased by 10 times over five years.,"stated on October 30, 2022 in an interview on Meet the Press:",https://www.politifact.com/factchecks/2022/nov/01/amy-klobuchar/election-officials-lawmakers-congress-have-faced-i/
Liz Cheney,"Kari Lake and Mark Finchem “have said that they will only honor the results of an election if they agree with it.""","stated on October 28, 2022 in an ad:",https://www.politifact.com/factchecks/2022/nov/01/liz-cheney/in-arizona-gop-candidates-kari-lake-and-mark-finch/
Maggie Hassan,"""Don Bolduc wants to cut trillions from Medicare and end Social Security.""","stated on October 19, 2022 in an ad:",https://www.politifact.com/factchecks/2022/nov/01/maggie-hassan/nh-gop-us-senate-candidate-don-bolduc-has-advocate/
West Virginia Democratic Party,“Carol Miller is a multi-millionaire worth over $16 million.”,"stated on August 25, 2022 in a tweet:",https://www.politifact.com/factchecks/2022/oct/27/west-virginia-democratic-party/rep-carol-miller-west-virginia-worth-over-16-milli/
Tony Evers,"If a 12-year-old girl became pregnant because of rape or incest, ""Tim Michels would force her to deliver the baby.""","stated on October 19, 2022 in Campaign ad:",https://www.politifact.com/factchecks/2022/oct/21/tony-evers/evers-campaign-mostly-on-track-about-michels-oppos/
Charlie Crist,"""When I was your governor, we reduced insurance rates by 10%.""","stated on October 4, 2022 in a campaign ad:",https://www.politifact.com/factchecks/2022/oct/19/charlie-crist/whats-story-charlie-crist-reducing-insurance-rates/
Joe Manchin,“WV families making less than $400K & small businesses will NOT be targeted by the IRS.”,"stated on August 28, 2022 in a tweet:",https://www.politifact.com/factchecks/2022/oct/18/joe-manchin/fact-checking-joe-manchin-targeting-irs-audits/
Raphael Warnock,“Black women are 3 to 4 times more likely to die (from maternal mortality) even when they have the insurance and the income.”,"stated on October 14, 2022 in a debate:",https://www.politifact.com/factchecks/2022/oct/17/raphael-warnock/black-white-disparity-maternal-mortality-big-rapha/
Katie Hobbs,Kari Lake has “gone on the record saying she supports Arizona's complete abortion ban. She's called it a great law.”,"stated on October 9, 2022 in an interview on CBS News' Face the Nation:",https://www.politifact.com/factchecks/2022/oct/12/katie-hobbs/az-gop-governor-hopeful-lake-called-near-total-abo/
Tim Ryan,“I voted with Trump on trade.”,"stated on September 27, 2022 in a campaign ad:",https://www.politifact.com/factchecks/2022/oct/04/tim-ryan/ohios-tim-ryan-says-he-voted-trump-trade-what-abou/
West Virginia Republican Party,“More fentanyl has crossed the border in the last two months under Biden than in 2019 under Trump.”,"stated on August 23, 2022 in a tweet:",https://www.politifact.com/factchecks/2022/oct/03/west-virginia-republican-party/fact-checking-how-much-fentanyl-coming-us/
Alex Mooney,"“There have now been 16 straight months of OVER 150,000 illegal border crossings.”","stated on August 29, 2022 in a tweet:",https://www.politifact.com/factchecks/2022/oct/03/alex-mooney/fact-checking-current-scale-us-mexico-border-cross/
Yuh-Line Niou,Sen. Marco Rubio and U.S. Rep. Ron DeSantis “voted against aid for Hurricane Sandy.”,"stated on September 28, 2022 in a tweet:",https://www.politifact.com/factchecks/2022/sep/30/yuh-line-niou/did-rubio-and-desantis-vote-against-hurricane-sand/
Adrian Fontes,Mark Finchem “wants to strip Arizona’s citizens of their capacity to vote by mail.”,"stated on September 22, 2022 in a debate:",https://www.politifact.com/factchecks/2022/sep/30/adrian-fontes/republican-arizona-secretary-state-candidate-aims-/
Cindy Axne,"""I was named Iowa’s most bipartisan member of Congress by @TheLugarCenter.”","stated on September 18, 2022 in a tweet:",https://www.politifact.com/factchecks/2022/sep/27/cindy-axne/cindy-axne-ranks-high-bipartisan-action/
Joe Biden,"Says Ron Johnson ""wants to put Social Security and Medicare on the chopping block every single year.""","stated on September 13, 2022 in Public statement:",https://www.politifact.com/factchecks/2022/sep/26/joe-biden/biden-mostly-track-ron-johnson-wants-annual-approv/
Mandela Barnes,"Says under his plan to end cash bail ""the Waukesha perpetrator wouldn’t have been released ""","stated on September 2, 2022 in News release:",https://www.politifact.com/factchecks/2022/sep/22/mandela-barnes/barnes-plan-end-cash-bail-wouldnt-necessarily-have/
Lee Zeldin,"Every time a Republican has been elected president over the last few decades, House Democrats have objected to the result","stated on September 6, 2022 in a news conference:",https://www.politifact.com/factchecks/2022/sep/21/lee-zeldin/house-democrats-have-objected-presidential-electio/
Senate Majority PAC,Blake Masters does not support abortion exceptions for rape and incest.,"stated on September 12, 2022 in an ad:",https://www.politifact.com/factchecks/2022/sep/16/senate-majority-pac/senate-candidate-blake-masters-backs-15-week-arizo/
Abigail Spanberger,“I don’t accept a dime of corporate money.”,"stated on September 2, 2022 in a tweet.:",https://www.politifact.com/factchecks/2022/sep/14/abigail-spanberger/spanbergers-rejection-corporate-pac-money-needs-li/
American Leadership Action,"As a mayor, ""John Fetterman chased down an innocent, unarmed Black man,"" wielded a shotgun and ""falsely accused the man, triggering a confrontation with police.""","stated on September 1, 2022 in an ad:",https://www.politifact.com/factchecks/2022/sep/12/american-leadership-action/ad-dissects-john-fettermans-2013-armed-chase-black/
Mark Kelly,Blake Masters “wants to pass a national ban on abortion.”,"stated on August 5, 2022 in an ad:",https://www.politifact.com/factchecks/2022/aug/26/mark-kelly/blake-masters-still-supports-national-abortion-ban/
Ron Johnson,"""Last year the IRS audited Americans earning less than $25,000 a year at five times the rate of other groups.""","stated on August 7, 2022 in News release:",https://www.politifact.com/factchecks/2022/aug/25/ron-johnson/johnsons-claim-irs-audits-mostly-low-wage-earners-/
Glenn Grothman,"""With three months remaining in the Fiscal Year, (the border patrol) has already encountered more illegal immigrants along the Southwest border"" than in any previous fiscal year.","stated on July 18, 2022 in Twitter:",https://www.politifact.com/factchecks/2022/aug/18/glenn-grothman/border-apprehensions-outpace-previous-years-analys/
Yesli Vega,“Abigail Spanberger still votes with and shares Joe Biden’s positions 100% of the time.”,"stated on July 11, 2022 in Facebook post:",https://www.politifact.com/factchecks/2022/aug/11/yesli-vega/spanberger-agrees-biden-most-time/
Michael Easley Jr.,“North Carolina is among some of the top states in the country for the number of ghost guns that are seized as crime guns.”,"stated on July 12, 2022 in a press conference:",https://www.politifact.com/factchecks/2022/aug/10/michael-easley-jr/easley-jr-mostly-right-about-north-carolina-ghost-/
Beto O'Rourke,"""Under Abbott, Texas leads the nation in rape offenses while the rate of arrests for rape has fallen by nearly half.""","stated on June 27, 2022 in an Instagram post:",https://www.politifact.com/factchecks/2022/aug/09/beto-orourke/texas-had-highest-number-rape-offenses-2020-did-no/
Mandela Barnes,“We have more oil and gas permits than ever before right now.”,"stated on July 17, 2022 in Debate:",https://www.politifact.com/factchecks/2022/aug/09/mandela-barnes/barnes-right-us-has-more-more-oil-and-gas-permits-/
Tim Ryan,"Instead of fighting opioid addiction, a nonprofit founded by J.D. Vance paid his “top political adviser” and funded “political polling.”","stated on July 19, 2022 in an ad:",https://www.politifact.com/factchecks/2022/jul/27/tim-ryan/gop-senate-hopeful-jd-vance-paid-political-adviser/
Tim Michels,“My company was building the Keystone Pipeline when (President Joe) Biden canceled it.”,"stated on June 23, 2022 in Twitter:",https://www.politifact.com/factchecks/2022/jul/21/tim-michels/michels-target-claim-my-company-was-building-keyst/
Sarah Godlewski,"""Fifty-four percent of Wisconsinites live in a child care desert.""","stated on May 8, 2022 in Newspaper opinion piece:",https://www.politifact.com/factchecks/2022/jul/20/sarah-godlewski/democratic-us-senate-candidate-says-54-people-wisc/
Kathy Hochul,Lee Zeldin “voted for abortion bans even when the mother’s health is at risk.”,"stated on June 30, 2022 in a campaign advertisement:",https://www.politifact.com/factchecks/2022/jul/17/kathy-hochul/zeldin-supported-bill-narrow-exceptions/
Val Demings,"Sen. Marco Rubio has ""one of the worst attendance records in the Senate.""","stated on July 13, 2022 in a campaign ad:",https://www.politifact.com/factchecks/2022/jul/14/val-demings/val-demings-ad-criticizes-rubios-attendance-record/
Bob Good,“Ninety-two percent of abortions in Virginia take place before 15 weeks.”,"stated on July 9, 2022 in an anti-abortion rally.:",https://www.politifact.com/factchecks/2022/jul/12/bob-good/virginia-975-abortions-occur-15-weeks-pregnancy-or/
National Republican Senatorial Committee,"Cheri Beasley voted to reverse the conviction of an armed kidnapper, release a double murderer early.","stated on June 14, 2022 in a political ad:",https://www.politifact.com/factchecks/2022/jul/07/national-republican-senatorial-committee/checking-beasley-votes-armed-kidnapper-and-double-/
Instagram posts,A Texas GOP lawmaker recently introduced a bill that would allow the death penalty for women who have an abortion.,"stated on May 7, 2022 in an Instagram post:",https://www.politifact.com/factchecks/2022/jun/28/instagram-posts/headline-about-texas-lawmakers-anti-abortion-bill-/
Joe Biden,"The Supreme Court decision overturning Roe v. Wade ""made the United States an outlier among developed nations in the world"" on abortion rights.","stated on June 24, 2022 in a speech:",https://www.politifact.com/factchecks/2022/jun/24/joe-biden/roe-reversal-ending-national-access-abortion-makes/
Catherine Cortez Masto,"Adam Laxalt ""wants to restrict"" and ""worked to limit access to birth control.""","stated on June 14, 2022 in an ad:",https://www.politifact.com/factchecks/2022/jun/23/catherine-cortez-masto/gop-nevada-senate-hopeful-adam-laxalt-backed-birth/
House Republican Conference,“Bennie Thompson objected to the 2004 Presidential election.”,"stated on June 9, 2022 in a tweet:",https://www.politifact.com/factchecks/2022/jun/10/house-republicans/fact-checking-whether-bennie-thompson-objected-200/
Zach Wahls,“There are fewer Iowans working today than when Gov. Reynolds took office.”,"stated on May 31, 2022 in an end-of-year Senate Democrats newsletter:",https://www.politifact.com/factchecks/2022/jun/09/zach-wahls/iowas-jobs-numbers-now-will-be-recalculated/
Bobby Scott,“Public schools are now as segregated by race and class as they were in the 1960s.”,"stated on May 18, 2022 in a committee hearing.:",https://www.politifact.com/factchecks/2022/jun/08/bobby-scott/are-american-schools-more-segregated-today-1960s/
Charles Schumer,“The leading cause of death among children is a firearm.”,"stated on May 25, 2022 in a floor speech:",https://www.politifact.com/factchecks/2022/jun/04/charles-schumer/among-children-firearms-leading-cause-death-2020/
Facebook posts,"""More people die from hands, fists, feet, than rifles.”","stated on May 25, 2022 in in a post:",https://www.politifact.com/factchecks/2022/may/27/facebook-posts/fbi-data-shows-lower-deaths-hands-fists-feet-rifle/
Facebook posts,“Florida Highway Patrol has a semi-truck … The FHP uses a fleet of three such ‘hidden in plain sight’ trucks to snitch on bad drivers.”,"stated on May 17, 2022 in a Facebook post:",https://www.politifact.com/factchecks/2022/may/26/facebook-posts/florida-uses-semitrucks-patrol-vehicles-theyre-mar/
Joe Biden,"""When we passed the assault weapons ban, mass shootings went down. When the law expired, mass shootings tripled.""","stated on May 24, 2022 in a national address from the White House.:",https://www.politifact.com/factchecks/2022/may/25/joe-biden/joe-biden-said-mass-shootings-tripled-when-assault/
Beto O'Rourke,"Texas is ""50th in the nation in mental health care access.""","stated on May 25, 2022 in remarks in Uvalde County, Texas:",https://www.politifact.com/factchecks/2022/may/25/beto-orourke/recent-report-put-texas-last-among-states-and-dc-m/
Steve Kerr,"“90% of Americans, regardless of political party, want universal background checks.”","stated on May 24, 2022 in remarks to the media:",https://www.politifact.com/factchecks/2022/may/25/steve-kerr/polls-consistently-show-high-support-gun-backgroun/
Chris Murphy,"“Most of these killers tend to be 18, 19 years old.”","stated on May 24, 2022 in an interview with CNN:",https://www.politifact.com/factchecks/2022/may/25/chris-murphy/fact-checking-chris-murphy-ages-mass-shooters/
Beto O'Rourke,"""Under Greg Abbott, property taxes have gone up $20 billion.""","stated on April 23, 2022 in an Instagram post:",https://www.politifact.com/factchecks/2022/may/19/beto-orourke/orourke-right-about-estimated-property-tax-revenue/
USA Freedom Fund,"“Kathy Barnette wants to build a statue of Barack Obama right next to the one of Abraham Lincoln on Capitol Hill.""","stated on May 11, 2022 in an attack ad:",https://www.politifact.com/factchecks/2022/may/13/usa-freedom-fund/pennsylvania-us-senate-candidate-kathy-barnette-wa/
